Date,Total-Score,E-Score,S-Score,G-Score
2018-02-01,53.44,60.48,58.04,57.59
2018-03-01,53.49,60.55,58.15,57.96
2018-04-01,53.29,60.94,58.17,58.24
2018-05-01,53.07,60.96,57.73,58.04
2018-06-01,53.3,61.0,57.87,57.56
2018-07-01,53.3,61.0,57.87,57.56
2018-08-01,,,,
2018-09-01,,,,
2018-10-01,,,,
2018-11-01,,,,
2018-12-01,,,,
2019-01-01,,,,
2019-02-01,,,,
2019-03-01,,,,
2019-04-01,,,,
2019-05-01,,,,
2019-06-01,,,,
2019-07-01,,,,
2019-08-01,,,,
2019-09-01,,,,
2019-10-01,21.23,3.08,8.81,8.48
2019-11-01,21.77,3.16,9.63,8.18
2019-12-01,21.33,3.02,9.36,8.14
2020-01-01,21.24,2.92,9.38,8.16
2020-02-01,21.07,3.18,9.11,7.92
2020-03-01,21.21,3.33,9.01,8.01
2020-04-01,21.1,3.09,9.09,8.13
2020-05-01,21.34,2.99,9.34,8.24
2020-06-01,21.21,2.93,9.45,8.41
2020-07-01,20.91,3.03,9.22,7.85
2020-08-01,20.65,3.07,9.03,7.65
2020-09-01,20.6,2.99,8.97,7.75
2020-10-01,20.46,2.99,8.88,7.69
2020-11-01,20.2,2.94,8.83,7.65
2020-12-01,19.93,3.06,8.89,7.58
